plot;Shrub_ID;S1;S2;S3;S4;S5;S6;S7;S8;;;;;;;;;;;;;;;;;;
T22;1708;DiBu;M;M;M;M;M;M;M;;;;;;;;;;;;;;;;;;
T22;1714;RhSi;M;SyBu;M;SyBu;DiJa;M;M;;;;;;;;;;;;;;;;;;
T22/U22;1915;DiJa;SyBu;M;DiBu;M;M;M;ViSe;;;;;;;;;;;;;;;;;;
S22;0509;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
S22;1404;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
F27;0519;M;M;M;M;M;M;M;M;;;;;;;;;;;;;;;;;;
F27;0403;M;M;M;M;M;ViSe;Unknown;M;;;;;;;;;;;;;;;;;;
F27;0312;DiBu;M;ViSe;DiBu;ViSe;Unknown;M;DiBu;;;;;;;;;;;;;;;;;;
F27;0818;M;M;M;M;M;M;M;M;;;;;;;;;;;;;;;;;;
F27;0609;M;M;M;M;M;DiBu;M;M;;;;;;;;;;;;;;;;;;
E26;1805;M;M;M;M;M;ViSe;M;M;;;;;;;;;;;;;;;;;;
P22;1510;M;M;M;M;M;M;M;DiBu;;;;;;;;;;;;;;;;;;
P22;1607;M;M;M;M;M;M;M;M;;;;;;;;;;;;;;;;;;
P23;1713;M;M;M;M;M;M;M;M;;;;;;;;;;;;;;;;;;
P22;1811;M;M;M;M;M;M;M;DiBu;;;;;;;;;;;;;;;;;;
Q23;0700;M;ItOm;M;M;M ;DiBu;M;M;;;;;;;;;;;;;;;;;;
Q23;0804;DiBu;DiBu;M;DiBu;M;DiBu;M;DiBu;;;;;;;;;;;;;;;;;;
