PLOT;TSQ_ID;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;Density
H30;1010;SaSa;LiFo;M;LiFo;SaSa;SaSa;LiFo;SaSa;SaSa;LiFo;LiFo;LiFo;11
I29;0208;M;LiFo;D;LiFo;LiFo;LiFo;M;LiFo;LiFo;LiFo;LiFo;LiFo;9
I29;0717;LiFo;D;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;M;LiFo;LiFo;M;9
I29;1218;LiFo;M;M;M;LiFo;LiFo;LiFo;LiFo;M;LiFo;LiFo;LiFo;8
G26;0606;CaSc;ChAx;ChAx;M;M;ChAx;ChAx;QuAc;TrSe;M;QuSe;ChAx;9
G26;0912;QuSe;M;CaSc;M;QuSe;QuSe;TrSe;CaSc;M;TrSe;TrSe;TrSe;9
G26;1103;M;M;D;CaSc;QuSe;CaSc;M;M;CaSc;QuSe;ChAx;M;6
H27;0005;CaSc;QuSe;TrSe;CaSc;M;ChAx;M;TrSe;ChAx;M;ChAx;M;8
H27;0307;ChAx;M;ChAx;M;ChAx;M;M;M;M;M;ChAx;ChAx;5
H27;1710;ChAx;D;TrSe;ChAx;M;TrSe;TrSe;CaAx;TrSe;TrSe;ChAx;ChAx;10
G21;0410;M;M;QuSe;QuSe;M;QuSe;QuSe;QuSe;QuSe;QuSe;M;QuSe;8
G21;0812;QuSe;M;M;M;QuSe;M;M;M;M;QuSe;QuSe;QuSe;5
G21;1816;M;M;QuSe;QuSe;QuSe;QuSe;M;M;M;M;D;M;4
M13;0909;TrSe;M;TrSe;M;M;TrSe;M;M;TrSe;TrSe;M;TrSe;6
M13;1309;TrSe;TrSe;TrSe;TrSe;M;TrSe;TrSe;TrSe;M;TrSe;M;M;8
M13;1816;M;M;M;M;M;M;TrSe;M;TrSe;M;TrSe;TrSe;4
M11;1108;CaSc;CaSc;CaSc;CaSc;CaSc;CaSc;M;CaSc;CaSc;CaSc;CaSc;M;10
M11;1613;CaSc;CaSc;CaSc;CaSc;M;CaSc;CaSc;CaSc;M;CaSc;CaSc;CaSc;10
M11;1616;CaSc;CaSc;M;CaSc;CaSc;CaSc;CaSc;M;CaSc;CaSc;CaSc;M;9
O11;0303;D;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;M;SaSa;SaSa;SaSa;10
O12;0016;M;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;11
O12;0712;M;SaSa;D;SaSa;SaSa;M;SaSa;SaSa;D;SaSa;M;D;6
X14;0409;M;NySi;NySi;NySi;NySi;M;M;NySi;NySi;M;NySi;NySi;8
X14;0808;NySi;NySi;NySi;NySi;NySi;M;NySi;NySi;NySi;NySi;M;NySi;10
X14;1408;NySi;NySi;NySi;NySi;M;NySi;NySi;M;NySi;NySi;NySi;NySi;10
N27;0104;ChAx;ChAx;ChAx;ChAx;M;M;ChAx;M;M;ChAx;M;ChAx;7
N27;0804;ChAx;ChAx;ChAx;D;ChAx;M;ChAx;ChAx;M;ChAx;ChAx;ChAx;9
O28;1715;M;M;D;M;ChAx;D;ChAx;M;ChAx;ChAx;ChAx;ChAx;6
O26;1203;CaSc;M;QuSe;CaSc;M;CaSc;M;CaSc;QuSe;QuSe;CaSc;M;8
O26;1301;CaSc;M;M;QuSe;QuSe;QuSe;M;CaSc;QuSe;CaSc;CaSc;M;8
O26;1706;M;M;M;M;CaSc;M;M;QuSe;QuSe;QuSe;M;CaSc;5
M22;0201;M;M;M;M;ChAx;TrCo;NySi;M;M;M;M;M;3
M22;0213;M;M;M;LiFo;M;M;CaSc;M;M;M;CyGl;M;3
M22;1313;M;ChAx;M;M;M;M;M;D;M;M;M;M;1
Q20;0403;LiFo;M;LiFo;CaHe;NySi;LiFo;NySi;SaSa;NySi;M;SaSa;NySi;10
Q20;0419;CaHe;NySi;NySi;SaSa;M;NySi;LiFo;NySi;NySi;M;NySi;LiFo;10
Q20;0705;SaSa;NySi;M;SaSa;M;M;M;M;M;LiFo;SaSa;M;5
